age,income,loan_amount,loan_term_months,credit_score,num_existing_loans,employment_years,debt_to_income,has_collateral,education,loan_purpose,region,default,loan_id,loan_to_income_ratio,monthly_payment_estimate,payment_to_income_ratio,credit_score_band,age_group,is_high_risk_purpose,education_enc,loan_purpose_enc,region_enc
60,92928.24811545564,10804.827755719332,24,727,2,300,0.41329148923885234,0,High School,Personal,East,0,LN000000,0.11627064939710506,450.2011564883055,0.05813532469855253,3,3,1,1,4,0
50,59395.68646848922,15169.195164605328,24,589,0,300,0.10991422689617153,0,High School,Business,South,1,LN000001,0.2553922021366473,632.049798525222,0.12769610106832366,2,2,0,1,1,2
36,82850.90507451915,7627.439478296149,36,679,1,300,0.08870209657024071,1,Master,Personal,North,1,LN000002,0.09206223482333416,211.8733188415597,0.03068741160777805,3,1,1,2,4,1
64,15000.0,28481.06800762056,48,609,4,300,0.22553813826076588,0,PhD,Business,West,1,LN000003,1.8987378671747042,593.355583492095,0.474684466793676,2,3,0,3,1,3
29,71283.38966664704,23388.08192028677,60,634,3,300,0.39936640547544794,1,Master,Education,East,0,LN000004,0.32810002483972617,389.8013653381129,0.06562000496794523,2,0,0,2,2,0
42,40689.66361483358,13776.101043733066,60,662,4,300,0.14637926957840952,1,Master,Personal,North,0,LN000005,0.33856512489601737,229.60168406221777,0.06771302497920348,2,2,1,2,4,1
60,40369.148607606854,11804.453745034192,60,649,4,300,0.44309039707111364,0,High School,Education,North,0,LN000006,0.2924127496414391,196.74089575056988,0.058482549928287816,2,3,0,1,2,1
40,50032.83947175752,14745.28434690609,48,708,3,300,0.3321414457547327,0,Master,Auto,South,1,LN000007,0.2947121231292398,307.19342389387685,0.07367803078230993,3,1,0,2,0,2
44,26508.32720537816,13892.939371113594,48,688,4,300,0.14617276504130858,0,Bachelor,Business,West,1,LN000008,0.5240971738229834,289.43623689819987,0.13102429345574584,3,2,0,0,1,3
32,63855.71050643705,2625.442677418614,48,529,0,300,0.1405209366714457,0,Bachelor,Home,East,1,LN000009,0.041115237096202274,54.69672244622112,0.010278809274050569,1,1,0,0,3,0
32,58814.2993343359,23661.339611402997,36,541,4,300,0.24501244128026192,0,Bachelor,Home,South,1,LN000010,0.4023058997421306,657.2594336500832,0.1341019665807102,1,1,0,0,3,2
45,60323.84496374541,13182.897758044914,24,620,3,300,0.08193098355066834,0,High School,Education,North,1,LN000011,0.21853543596181288,549.2874065852047,0.10926771798090644,2,2,0,1,2,1
